id,title,name,info,image_thumb,image_full,type,category,price,collection,s,m,l,xl,slug 
1,2020 Factory Custom Men Big Size Formal Dress Shoes Leather Business Casual Shoes,2020 Factory Custom Men Big,"Lorem Ipsum of is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",https://images-na.ssl-images-amazon.com/images/I/51pYGdFFsrL._AC_UY500_.jpg,https://images-na.ssl-images-amazon.com/images/I/51%2BCB%2B6U%2BTL._AC_UY395_.jpg,Formal ,men,2699.99,new_arrival,3,5,3,3,2020-factory-custom-men-big
2,High quality man business shoe official shoes for men,High quality man business shoe,"Lorem Ipsum of is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",https://m.media-amazon.com/images/I/61hCuaclsvL._AC_SY500._SX._UX._SY._UY_.jpg,https://m.media-amazon.com/images/I/61ptrk7ImXL._AC_SY500._SX._UX._SY._UY_.jpg,Formal,men,25299.99,new_arrival,3,2,0,4,high-quality-man-business-shoe
3,2020 Jasonstar Classic PU Bulk Wholesale Custom formal shoes wholesale china men dress leather shoes,2020 Jasonstar Classic PU Bulk,"Lorem Ipsum of is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",https://m.media-amazon.com/images/I/71kB0iO7WuL._AC_SY500._SX._UX._SY._UY_.jpg,https://m.media-amazon.com/images/I/61MCXsr79LL._AC_SY500._SX._UX._SY._UY_.jpg,Formal,men,2500,reqular,1,3,2,3,2020-jasonstar-classic-pu-bulk
4,Kenneth Cole New York Men's Len Slip on Loafer,Kenneth Cole New York Men's,"Lorem Ipsum of is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",https://images-na.ssl-images-amazon.com/images/I/51suVdLpvCL._AC_UX500_.jpg,https://images-na.ssl-images-amazon.com/images/I/61PFdeiMNJL._AC_UX500_.jpg,Formal,men,5661,reqular,3,1,5,3,kenneth-cole-new-york-mens
5,DLT Men's Genuine Imported Leather with Leather Sole Goodyear Welted Single Monk Strap Modern Classic Dress Shoes,DLT Men's Genuine Imported Leather,"Lorem Ipsum of is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",https://images-na.ssl-images-amazon.com/images/I/61xa7vffFYL._AC_UY500_.jpg,https://images-na.ssl-images-amazon.com/images/I/61ABtzTz8gL._AC_UY500_.jpg,Formal,men,16150.5,reqular,0,4,5,3,dlt-mens-genuine-imported-leather
6,Skechers Men's Relaxed Fit: Harper - Forde Slip-On Loafer,Skechers Men's Relaxed Fit: Harper,"Lorem Ipsum of is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",https://images-na.ssl-images-amazon.com/images/I/713faZXcyEL._AC_UX500_.jpg,https://images-na.ssl-images-amazon.com/images/I/71iVGoc3l-L._AC_UX500_.jpg,Formal,men,6493.5,reqular,4,5,3,1,skechers-mens-relaxed-fit-harper
7,DREAM PAIRS Bruno Marc Moda Italy Men's Prince Classic Modern Formal Oxford Wingtip Lace Up Dress Shoes,DREAM PAIRS Bruno Marc Moda,"Lorem Ipsum of is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",https://images-na.ssl-images-amazon.com/images/I/51vwKY6k%2B2L._AC_UY500_.jpg,https://images-na.ssl-images-amazon.com/images/I/51trg6%2BdjWL._AC_UY500_.jpg,Formal,men ,5825.84,reqular,4,0,3,0,dream-pairs-bruno-marc-moda
8,Stacy Adams Men's Dickinson Cap-Toe Lace-up Oxford,Stacy Adams Men's Dickinson Cap-Toe,"Lorem Ipsum of is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",https://images-na.ssl-images-amazon.com/images/I/61%2BkcN3DERL._AC_UX500_.jpg,https://images-na.ssl-images-amazon.com/images/I/61DEL%2BX%2BiPL._AC_UX500_.jpg,Formal,men,8321.67,reqular,0,2,1,5,stacy-adams-mens-dickinson-cap-toe
9,Clarks Men's Tilden Walk Oxford,Clarks Men's Tilden Walk Oxford,"Lorem Ipsum of is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",https://images-na.ssl-images-amazon.com/images/I/61YAJQ94VIL._AC_UX695_.jpg,https://images-na.ssl-images-amazon.com/images/I/61crpbqkaWL._AC_UX500_.jpg,Formal,men,8321.67,reqular,3,2,0,3,clarks-mens-tilden-walk-oxford
10,Calvin Klein Men's Ripley Oxford Flat,Calvin Klein Men's Ripley Oxford,"Lorem Ipsum of is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",https://images-na.ssl-images-amazon.com/images/I/71DQbUO9JUL._AC_UX500_.jpg,https://images-na.ssl-images-amazon.com/images/I/71wH1uy2ZcL._AC_UX500_.jpg,Formal,men ,7196.13,reqular,5,1,1,3,calvin-klein-mens-ripley-oxford
